fold,best_epoch,last_epoch,best_ckpt,last_ckpt,n,log2MAE,log10MAE,RSE,PCC,KCC,mae,rmse,mse,r2,rse,pearson,spearman,kendall,selection_score
1,18,34,fold1_best.pt,fold1_last.pt,20209,1.5363168477844495,0.4624774540270541,0.5769991935601227,0.6609091011586633,0.4637001592371861,1.5363168477844495,2.0091849908701582,4.036824327537918,0.42300080643987725,0.5769991935601227,0.6609091011586633,0.638688671579155,0.4637001592371861,0.9887067809487229
2,44,60,fold2_best.pt,fold2_last.pt,21404,1.4351113307177732,0.43201155766330157,0.5183030631894888,0.7098363413832429,0.49663573444073816,1.4351113307177732,1.8763843556089468,3.520818249974002,0.4816969368105112,0.5183030631894888,0.7098363413832429,0.676383000809588,0.49663573444073816,0.7469423180832808
3,32,48,fold3_best.pt,fold3_last.pt,20250,1.4449628222480584,0.43497715211594706,0.5164901010662737,0.7092742536175809,0.495574413306498,1.4449628222480584,1.9077092664167443,3.639354645172313,0.4835098989337263,0.5164901010662737,0.7092742536175809,0.6720585696092939,0.495574413306498,0.7566042563902532
4,22,38,fold4_best.pt,fold4_last.pt,20129,1.4184269823698807,0.42698906835247913,0.5669110718740683,0.6783424648901228,0.4996999481572628,1.4184269823698807,1.9505502107744161,3.8046461247521193,0.4330889281259317,0.5669110718740683,0.6783424648901228,0.6779348984714175,0.4996999481572628,0.8072956411965633
5,22,38,fold5_best.pt,fold5_last.pt,20300,1.4857475932017628,0.44725459153929714,0.5321608471554466,0.6957149143792187,0.4868378236234177,1.4857475932017628,1.959528525217575,3.839752041141364,0.46783915284455335,0.5321608471554466,0.6957149143792187,0.660901782201306,0.4868378236234177,0.8353557023545732
