fold,best_epoch,last_epoch,best_ckpt,last_ckpt,n,log2MAE,log10MAE,RSE,PCC,KCC,mae,rmse,mse,r2,rse,pearson,spearman,kendall,selection_score
1,34,50,fold1_best.pt,fold1_last.pt,9500,1.8296315534674925,0.5507739786070025,0.8502727798199355,0.46775113365212545,0.30996116126152334,1.8296315534674925,2.4439441216422093,5.97286286970951,0.14972722018006446,0.8502727798199355,0.46775113365212545,0.43866050866266093,0.30996116126152334,1.902192038373779
2,18,34,fold2_best.pt,fold2_last.pt,10769,1.8249682157658398,0.5493701740788942,0.8297673381683719,0.45368611900112465,0.3067799347590191,1.8249682157658398,2.4380750088459116,5.944209748758991,0.1702326618316281,0.8297673381683719,0.45368611900112465,0.4346779095662781,0.3067799347590191,1.894269500174068
3,26,42,fold3_best.pt,fold3_last.pt,10002,1.8719903653533236,0.5635252515653256,0.9115919415739858,0.4021142460427902,0.28522861698402235,1.8719903653533236,2.553277676915155,6.519226895433251,0.08840805842601418,0.9115919415739858,0.4021142460427902,0.4017751368559196,0.28522861698402235,2.0962394439004965
4,26,42,fold4_best.pt,fold4_last.pt,9475,1.7797880522227048,0.5357695896434064,0.8158310882031913,0.48702735932407243,0.33394293800540836,1.7797880522227048,2.4182675446451425,5.8480179174840465,0.18416891179680872,0.8158310882031913,0.48702735932407243,0.4705704269526378,0.33394293800540836,1.774648843096415
5,20,36,fold5_best.pt,fold5_last.pt,10317,1.85742492659493,0.5591406175990424,0.8204682365653846,0.47479130006268616,0.31787716019333095,1.85742492659493,2.481239826388655,6.156551076057201,0.1795317634346154,0.8204682365653846,0.47479130006268616,0.45025007071779105,0.31787716019333095,1.8852247029042977
