fold,best_epoch,last_epoch,best_ckpt,last_ckpt,n,log2MAE,log10MAE,RSE,PCC,KCC,mae,rmse,mse,r2,rse,pearson,spearman,kendall,selection_score
1,46,62,fold1_best.pt,fold1_last.pt,20209,1.4687079307182138,0.4421251420157587,0.5404924969566183,0.694794902376772,0.49292312462471377,1.4687079307182138,1.9445860096140115,3.7814147487865446,0.4595075030433817,0.5404924969566183,0.694794902376772,0.6714524382987467,0.49292312462471377,0.8214824006733467
2,28,44,fold2_best.pt,fold2_last.pt,21404,1.4113934781623838,0.42487177261139375,0.5240318122164929,0.7052764789100677,0.49360913243574206,1.4113934781623838,1.8867255980424615,3.559733482308684,0.47596818778350714,0.5240318122164929,0.7052764789100677,0.6676536213208264,0.49360913243574206,0.7365396790330667
3,40,56,fold3_best.pt,fold3_last.pt,20250,1.4378883415560963,0.4328475212239208,0.49708497136040397,0.7187062678826425,0.5042157819735144,1.4378883415560963,1.871528756727095,3.502619887256466,0.502915028639596,0.49708497136040397,0.7187062678826425,0.6853668960780487,0.5042157819735144,0.7120512630603434
4,32,48,fold4_best.pt,fold4_last.pt,20129,1.4642765053648303,0.4407911500608444,0.5314796492850362,0.7079399837874829,0.4916827653572755,1.4642765053648303,1.888613043417402,3.566859227766342,0.4685203507149638,0.5314796492850362,0.7079399837874829,0.6724222133724657,0.4916827653572755,0.7961334055051081
5,26,42,fold5_best.pt,fold5_last.pt,20300,1.4900548776724574,0.4485512133648339,0.530911521166885,0.7030506568334618,0.49681516096260425,1.4900548776724574,1.9572270327017764,3.8307376575386005,0.469088478833115,0.530911521166885,0.7030506568334618,0.6756777809731431,0.49681516096260425,0.8211005810432764
