fold,best_epoch,last_epoch,best_ckpt,last_ckpt,n,log2MAE,log10MAE,RSE,PCC,KCC,mae,rmse,mse,r2,rse,pearson,spearman,kendall,selection_score
1,46,62,fold1_best.pt,fold1_last.pt,11461,1.5869039786878156,0.47770569782354766,0.6652425204691177,0.5945973776157588,0.41544811391484,1.5869039786878156,2.1294357765712406,4.534496726541563,0.3347574795308823,0.6652425204691177,0.5945973776157588,0.5759975647504548,0.41544811391484,1.2421010076263344
2,48,64,fold2_best.pt,fold2_last.pt,11985,1.5953565117480313,0.48025016381401403,0.6813593763759316,0.5907133563828694,0.39653276729018105,1.5953565117480313,2.1253077553143225,4.516933054799204,0.3186406236240684,0.6813593763759316,0.5907133563828694,0.552511563531951,0.39653276729018105,1.2894697644509125
3,62,70,fold3_best.pt,fold3_last.pt,11485,1.5706741949247434,0.47282004608772266,0.6716725951049706,0.6066492766249855,0.4195558472136754,1.5706741949247434,2.1328288882552817,4.548959066576261,0.32832740489502943,0.6716725951049706,0.6066492766249855,0.5785819988768096,0.4195558472136754,1.2161416661910531
4,22,38,fold4_best.pt,fold4_last.pt,11448,1.5376168288618057,0.4628687873251339,0.646704276836713,0.6075698012293815,0.4115623674412225,1.5376168288618057,2.051397082118706,4.208229988525141,0.35329572316328695,0.646704276836713,0.6075698012293815,0.5731654496119339,0.4115623674412225,1.165188937027915
5,18,34,fold5_best.pt,fold5_last.pt,11459,1.663025470820507,0.5006205502701875,0.6866442713528434,0.5826207106434722,0.3987843274621455,1.663025470820507,2.21341771193391,4.899217967502744,0.31335572864715655,0.6866442713528434,0.5826207106434722,0.556664037802283,0.3987843274621455,1.3682647040677327
