fold,best_epoch,last_epoch,best_ckpt,last_ckpt,n,log2MAE,log10MAE,RSE,PCC,KCC,mae,rmse,mse,r2,rse,pearson,spearman,kendall,selection_score
1,2,18,fold1_best.pt,fold1_last.pt,20209,2.033488234093578,0.6121409542919466,1.0097837709698916,-0.001265275461722376,-0.0007615785948100063,2.033488234093578,2.657948215551377,7.06468871655275,-0.009783770969891581,1.0097837709698916,-0.001265275461722376,-0.0009316274676746759,-0.0007615785948100063,3.045298859120002
2,4,20,fold2_best.pt,fold2_last.pt,21404,1.9996898838127077,0.6019666370534464,1.0153035945216087,0.004342565402032518,0.002519465278745075,1.9996898838127077,2.626200486498238,6.896928995283582,-0.015303594521608677,1.0153035945216087,0.004342565402032518,0.0030806940770905997,0.002519465278745075,3.008131447653539
3,1,16,fold3_best.pt,fold3_last.pt,20250,2.03122394921696,0.6114593366253562,1.0216024506232018,-0.0017443387547057903,-0.0028740821894465587,2.03122394921696,2.6830091333741173,7.1985380097689315,-0.021602450623201763,1.0216024506232018,-0.0017443387547057903,-0.003515515344323166,-0.0028740821894465587,3.0574448207843137
4,1,16,fold4_best.pt,fold4_last.pt,20129,1.9815757736098414,0.5965137465376208,1.0157253098312669,0.00044279864885967866,0.0003025428176822839,1.9815757736098414,2.6108853540379204,6.816722331929718,-0.015725309831266854,1.0157253098312669,0.00044279864885967866,0.00037016537623195265,0.0003025428176822839,2.9965557419745665
5,0,14,fold5_best.pt,fold5_last.pt,20300,2.0552490931351644,0.6186916255948798,1.0081861166850514,,,2.0552490931351644,2.6971213499488518,7.274463576349916,-0.008186116685051426,1.0081861166850514,,,,inf
