fold,best_epoch,last_epoch,best_ckpt,last_ckpt,n,log2MAE,log10MAE,RSE,PCC,KCC,mae,rmse,mse,r2,rse,pearson,spearman,kendall,selection_score
1,38,54,fold1_best.pt,fold1_last.pt,6311,1.678586553946093,0.5053049030560095,0.8721513396203215,0.4629471954369403,0.3072750756391822,1.678586553946093,2.2140833698093054,4.90216516846613,0.12784866037967846,0.8721513396203215,0.4629471954369403,0.4365112457919266,0.3072750756391822,1.780515622490292
2,38,54,fold2_best.pt,fold2_last.pt,6409,1.7605814809047007,0.5299878355628277,0.8963314922689098,0.4169222226125999,0.300644080787003,1.7605814809047007,2.3551799881811992,5.546872776729194,0.10366850773109015,0.8963314922689098,0.4169222226125999,0.42819539740702206,0.300644080787003,1.9393466697740074
3,22,38,fold3_best.pt,fold3_last.pt,6409,1.7495309579015175,0.5266612966710946,0.8410564954519146,0.4472063598587256,0.312755306023065,1.7495309579015175,2.324192730520464,5.401871848604171,0.15894350454808537,0.8410564954519146,0.4472063598587256,0.4437771094043608,0.312755306023065,1.8306257874716418
4,12,28,fold4_best.pt,fold4_last.pt,6881,1.7313030130233424,0.5211741385034544,0.9506100731096104,0.3427401710403084,0.2495842495286962,1.7313030130233424,2.3003183737642274,5.291464620677299,0.04938992689038957,0.9506100731096104,0.3427401710403084,0.35597760247205185,0.2495842495286962,2.0895886655639484
5,24,40,fold5_best.pt,fold5_last.pt,6731,1.7020241645468337,0.5123603268735246,0.8623312927907442,0.44095978242393646,0.289861243407574,1.7020241645468337,2.2723353910456483,5.16350812939858,0.13766870720925584,0.8623312927907442,0.44095978242393646,0.41266186958378454,0.289861243407574,1.8335344315060673
