fold,best_epoch,last_epoch,best_ckpt,last_ckpt,n,log2MAE,log10MAE,RSE,PCC,KCC,mae,rmse,mse,r2,rse,pearson,spearman,kendall,selection_score
1,30,46,fold1_best.pt,fold1_last.pt,20209,1.4739647080838327,0.44370758968333746,0.5440501525140717,0.6884926377583631,0.4849420951441465,1.4739647080838327,1.9509753862508648,3.8063049577567107,0.45594984748592826,0.5440501525140717,0.6884926377583631,0.660273801084492,0.4849420951441465,0.8445801276953948
2,20,36,fold2_best.pt,fold2_last.pt,21404,1.4871635009710016,0.4476808222489317,0.5755212733588223,0.6771790883780192,0.4750854775054974,1.4871635009710016,1.9772455476063973,3.909499955529322,0.4244787266411777,0.5755212733588223,0.6771790883780192,0.6476772220590172,0.4750854775054974,0.9104202084463071
3,30,46,fold3_best.pt,fold3_last.pt,20250,1.432131582504396,0.4311145640715489,0.5155862532200891,0.7141541138454562,0.5031133463170862,1.432131582504396,1.906039308045191,3.6329858438133904,0.4844137467799109,0.5155862532200891,0.7141541138454562,0.6815164090002993,0.5031133463170862,0.7304503755619426
4,28,44,fold4_best.pt,fold4_last.pt,20129,1.3860484516332094,0.4172421593852129,0.493940474827682,0.7229550858040795,0.5044107666273443,1.3860484516332094,1.8206940473843651,3.3149268141808608,0.506059525172318,0.493940474827682,0.7229550858040795,0.6842248284781597,0.5044107666273443,0.6526230740294676
5,50,66,fold5_best.pt,fold5_last.pt,20300,1.4916402277322476,0.4490284512864584,0.5588952551817226,0.686163296208989,0.48541090069672965,1.4916402277322476,2.0081462650230053,4.032651421725846,0.44110474481827744,0.5588952551817226,0.686163296208989,0.658580946024526,0.48541090069672965,0.8789612860082515
