fold,best_epoch,last_epoch,best_ckpt,last_ckpt,n,log2MAE,log10MAE,RSE,PCC,KCC,mae,rmse,mse,r2,rse,pearson,spearman,kendall,selection_score
1,14,30,fold1_best.pt,fold1_last.pt,20209,1.434157262788726,0.43172435459875735,0.5173144469338693,0.6979039385869862,0.49551051731456075,1.434157262788726,1.902434116756414,3.6192555685987573,0.4826855530661307,0.5173144469338693,0.6979039385869862,0.6726373744824072,0.49551051731456075,0.7580572538210483
2,68,70,fold2_best.pt,fold2_last.pt,21404,1.4170325714210776,0.4265693088306071,0.530063955844615,0.7087782393575659,0.5000580631863535,1.4170325714210776,1.8975536002193583,3.6007096657054483,0.46993604415538504,0.530063955844615,0.7087782393575659,0.6754634416500246,0.5000580631863535,0.7382602247217732
3,26,42,fold3_best.pt,fold3_last.pt,20250,1.4935524129366382,0.44960407639024486,0.5490975307127561,0.6891227553102294,0.47780013710934127,1.4935524129366382,1.9670071266207052,3.8691170361766427,0.45090246928724387,0.5490975307127561,0.6891227553102294,0.6522633532156734,0.47780013710934127,0.8757270512298236
4,24,40,fold4_best.pt,fold4_last.pt,20129,1.4162431789664516,0.4263316780234139,0.5115346984213751,0.7056570294742573,0.49511504035956305,1.4162431789664516,1.8528369966121738,3.4330049360148203,0.4884653015786249,0.5115346984213751,0.7056570294742573,0.6739799943291408,0.49511504035956305,0.7270058075540065
5,12,28,fold5_best.pt,fold5_last.pt,20300,1.5248077271062446,0.45901286347919784,0.5608123828994682,0.6735078835470821,0.4697992909127131,1.5248077271062446,2.0115874975375934,4.046484260249557,0.4391876171005318,0.5608123828994682,0.6735078835470821,0.6421954102524805,0.4697992909127131,0.9423129355459174
