fold,best_epoch,last_epoch,best_ckpt,last_ckpt,n,log2MAE,log10MAE,RSE,PCC,KCC,mae,rmse,mse,r2,rse,pearson,spearman,kendall,selection_score
1,18,34,fold1_best.pt,fold1_last.pt,9500,1.8496201945723143,0.5567911591521159,0.8544070490643448,0.434905782928705,0.287883672784657,1.8496201945723143,2.4498784941079275,6.001904635892526,0.14559295093565516,0.8544070490643448,0.434905782928705,0.4110463493300618,0.287883672784657,1.9812377879232972
2,24,40,fold2_best.pt,fold2_last.pt,10769,1.814739298801365,0.5462909632494312,0.826765283951058,0.4722052453316925,0.3171432994003331,1.814739298801365,2.4336605994218505,5.92270391317832,0.17323471604894203,0.826765283951058,0.4722052453316925,0.447268258886514,0.3171432994003331,1.8521560380203974
3,36,52,fold3_best.pt,fold3_last.pt,10002,1.867269908841611,0.5621042525620727,0.9025873919870352,0.42847378807976055,0.29668008564598014,1.867269908841611,2.540635960741893,6.454831085014882,0.09741260801296481,0.9025873919870352,0.42847378807976055,0.4181065794059897,0.29668008564598014,2.044703427102905
4,28,44,fold4_best.pt,fold4_last.pt,9475,1.7370710764513673,0.5229104986121822,0.7688177751255393,0.518733627853713,0.35116783011674146,1.7370710764513673,2.3475558316335743,5.511018382636803,0.23118222487446072,0.7688177751255393,0.518733627853713,0.4920902397253785,0.35116783011674146,1.635987393606452
5,34,50,fold5_best.pt,fold5_last.pt,10317,1.9105103993995098,0.5751209372472255,0.86430717142642,0.47013792394454806,0.31689505573280596,1.9105103993995098,2.5466655615313134,6.485505482289599,0.13569282857358,0.86430717142642,0.47013792394454806,0.44832353614545345,0.31689505573280596,1.9877845911485754
