fold,best_epoch,last_epoch,best_ckpt,last_ckpt,n,log2MAE,log10MAE,RSE,PCC,KCC,mae,rmse,mse,r2,rse,pearson,spearman,kendall,selection_score
1,28,44,fold1_best.pt,fold1_last.pt,3985,1.1479218988855744,0.3455589242441135,0.35262651140002294,0.8114270155695653,0.6131295233820125,1.1479218988855744,1.5813551131805201,2.5006839939821757,0.6473734885999771,0.35262651140002294,0.8114270155695653,0.7898359067167613,0.6131295233820125,0.07599187133401941
2,34,50,fold2_best.pt,fold2_last.pt,3561,1.2464716687811144,0.3752253610484543,0.3690902868382841,0.7992736987680337,0.5863978568932009,1.2464716687811144,1.6631791117138575,2.7661647576412958,0.6309097131617158,0.3690902868382841,0.7992736987680337,0.7670522762015248,0.5863978568932009,0.22989039995816396
3,12,28,fold3_best.pt,fold3_last.pt,3325,1.3247114159874387,0.39877787181072505,0.4544401936007517,0.7431555257972732,0.544776925054869,1.3247114159874387,1.796460423042586,3.227270051558347,0.5455598063992483,0.4544401936007517,0.7431555257972732,0.7231344922804134,0.544776925054869,0.49121915873604827
4,32,48,fold4_best.pt,fold4_last.pt,3717,1.3624958659910458,0.4101521246314768,0.4820029964876006,0.7379613327705175,0.5241347189996756,1.3624958659910458,1.8530864439203991,3.43392936864155,0.5179970035123994,0.4820029964876006,0.7379613327705175,0.7002149093432127,0.5241347189996756,0.5824028107084535
5,22,38,fold5_best.pt,fold5_last.pt,3857,1.2501237593821488,0.37632474986624814,0.36338506037760465,0.8053283354464119,0.5916855882314357,1.2501237593821488,1.6323932769173142,2.664707810524847,0.6366149396223953,0.36338506037760465,0.8053283354464119,0.7800097878430181,0.5916855882314357,0.21649489608190575
