fold,best_epoch,last_epoch,best_ckpt,last_ckpt,n,log2MAE,log10MAE,RSE,PCC,KCC,mae,rmse,mse,r2,rse,pearson,spearman,kendall,selection_score
1,10,26,fold1_best.pt,fold1_last.pt,22960,1.560980810297461,0.4699020465554025,0.5182889020731417,0.6974381136786473,0.493995672965233,1.560980810297461,1.9969485469023267,3.9878034989753144,0.4817110979268583,0.5182889020731417,0.6974381136786473,0.6770498372158732,0.493995672965233,0.8878359257267221
2,24,40,fold2_best.pt,fold2_last.pt,23152,1.463350094289947,0.44051227253898917,0.4770116752278769,0.7340271809555257,0.537565902199699,1.463350094289947,1.9126877442151962,3.658374406871016,0.5229883247721231,0.4770116752278769,0.7340271809555257,0.7245130106664871,0.537565902199699,0.6687686863625992
3,46,62,fold3_best.pt,fold3_last.pt,24276,1.5768577458593305,0.4746814803987494,0.5542680373975699,0.6917795077703733,0.5045853232486678,1.5768577458593305,2.076716957578189,4.312753321892809,0.4457319626024301,0.5542680373975699,0.6917795077703733,0.6872239754829084,0.5045853232486678,0.9347609522378592
4,28,44,fold4_best.pt,fold4_last.pt,23186,1.5339367700883235,0.46176097924850934,0.5298700570269063,0.6971787567779316,0.5003003738683984,1.5339367700883235,1.999530474222185,3.9981221173431964,0.47012994297309374,0.5298700570269063,0.6971787567779316,0.6846597852688646,0.5003003738683984,0.8663276964688997
5,28,44,fold5_best.pt,fold5_last.pt,23213,1.534329337312299,0.4618791537582405,0.5143744824008529,0.7065771409568117,0.5024652549073367,1.534329337312299,1.973098361564829,3.8931171444098127,0.48562551759914707,0.5143744824008529,0.7065771409568117,0.6883448724791167,0.5024652549073367,0.8396614238490037
