model,accuracy,precision,recall,f1,mcc,auc_roc,auc_pr
Adaboost,0.7607±0.0245,0.7789±0.0223,0.9349±0.0166,0.8495±0.0135,0.3170±0.0923,0.7531±0.0244,0.8797±0.0103
CatBoost,0.8202±0.0118,0.8480±0.0215,0.9167±0.0320,0.8802±0.0086,0.5311±0.0358,0.8721±0.0102,0.9425±0.0080
GB,0.7901±0.0348,0.8442±0.0348,0.8715±0.0168,0.8573±0.0218,0.4622±0.1014,0.8352±0.0295,0.9241±0.0148
LGBM,0.8108±0.0081,0.8280±0.0138,0.9323±0.0261,0.8766±0.0066,0.4949±0.0230,0.8625±0.0124,0.9369±0.0088
LR,0.7688±0.0117,0.7790±0.0141,0.9496±0.0139,0.8557±0.0063,0.3442±0.0411,0.7766±0.0147,0.8939±0.0085
MLP,0.8064±0.0144,0.8583±0.0198,0.8776±0.0267,0.8673±0.0105,0.5108±0.0401,0.8358±0.0104,0.9175±0.0101
RF,0.8045±0.0101,0.8062±0.0085,0.9601±0.0114,0.8764±0.0062,0.4662±0.0334,0.8604±0.0234,0.9377±0.0159
SVM,0.8101±0.0085,0.8279±0.0049,0.9306±0.0148,0.8761±0.0062,0.4915±0.0232,0.8507±0.0147,0.9316±0.0110
XGB,0.8239±0.0061,0.8495±0.0195,0.9202±0.0228,0.8829±0.0035,0.5391±0.0249,0.8642±0.0095,0.9369±0.0066
