fold,best_epoch,last_epoch,best_ckpt,last_ckpt,n,log2MAE,log10MAE,RSE,PCC,KCC,mae,rmse,mse,r2,rse,pearson,spearman,kendall,selection_score
1,18,34,fold1_best.pt,fold1_last.pt,20209,1.5280244024593692,0.4599811792468014,0.5983679866342211,0.6655955720192775,0.4735483658554445,1.5280244024593692,2.046051200114931,4.1863255134917505,0.4016320133657789,0.5983679866342211,0.6655955720192775,0.6450712117117388,0.4735483658554445,0.9872484512188684
2,16,32,fold2_best.pt,fold2_last.pt,21404,1.5067391500229024,0.453573679798145,0.586109828566893,0.6583952534430614,0.4558519804013523,1.5067391500229024,1.9953515268457696,3.981427715685744,0.413890171433107,0.586109828566893,0.6583952534430614,0.6248658846057856,0.4558519804013523,0.9786017447453819
3,28,44,fold3_best.pt,fold3_last.pt,20250,1.496578363480206,0.45051497826925446,0.5535656994105749,0.6892611901258237,0.4820874409318159,1.496578363480206,1.9749939705328063,3.9006011836409393,0.4464343005894251,0.5535656994105749,0.6892611901258237,0.656911112368091,0.4820874409318159,0.8787954318331415
4,24,40,fold4_best.pt,fold4_last.pt,20129,1.4897061319105547,0.4484462304296405,0.5746785761654061,0.6744239628911226,0.4727642666394629,1.4897061319105547,1.9638674337460345,3.8567752973282348,0.4253214238345939,0.5746785761654061,0.6744239628911226,0.6486610425103162,0.4727642666394629,0.9171964785453754
5,20,36,fold5_best.pt,fold5_last.pt,20300,1.6009445188728983,0.48193232157458304,0.6090583801017234,0.6524498134283742,0.45130232816229304,1.6009445188728983,2.09632972296641,4.3945983073924255,0.3909416198982766,0.6090583801017234,0.6524498134283742,0.6222906144142292,0.45130232816229304,1.1062507573839544
