fold,best_epoch,last_epoch,best_ckpt,last_ckpt,n,log2MAE,log10MAE,RSE,PCC,KCC,mae,rmse,mse,r2,rse,pearson,spearman,kendall,selection_score
1,52,68,fold1_best.pt,fold1_last.pt,20209,1.5642405340332817,0.4708833211774624,0.6006898217712336,0.6690284309927698,0.46942408498690336,1.5642405340332817,2.050016982197177,4.202569627296822,0.39931017822876635,0.6006898217712336,0.6690284309927698,0.6429152127862822,0.46942408498690336,1.026477839824842
2,52,68,fold2_best.pt,fold2_last.pt,21404,1.6275868967329588,0.4899524764662752,0.659661003725219,0.6538855340883105,0.4491314006723281,1.6275868967329588,2.116851151308629,4.4810587967966695,0.34033899627478104,0.659661003725219,0.6538855340883105,0.6189849045347201,0.4491314006723281,1.184230965697539
3,56,70,fold3_best.pt,fold3_last.pt,20250,1.6097320019933676,0.4845776175802352,0.6301482756265451,0.6681885500506183,0.46032314325240326,1.6097320019933676,2.107184505285813,4.440226539316616,0.3698517243734549,0.6301482756265451,0.6681885500506183,0.6322984383829154,0.46032314325240326,1.1113685843168912
4,64,70,fold4_best.pt,fold4_last.pt,20129,1.5338743433094064,0.4617421869155226,0.5979334295371687,0.6862077587769713,0.478852035682443,1.5338743433094064,2.0032081677230393,4.012842963232296,0.40206657046283134,0.5979334295371687,0.6862077587769713,0.6545076368099587,0.478852035682443,0.9667479783871606
5,30,46,fold5_best.pt,fold5_last.pt,20300,1.64360314512971,0.49477384765170246,0.6437667860806968,0.654152845287529,0.4515746240773911,1.64360314512971,2.155233920667211,4.6450332527945575,0.3562332139193032,0.6437667860806968,0.654152845287529,0.620900760709403,0.4515746240773911,1.1816424618454864
