fold,best_epoch,last_epoch,best_ckpt,last_ckpt,n,log2MAE,log10MAE,RSE,PCC,KCC,mae,rmse,mse,r2,rse,pearson,spearman,kendall,selection_score
1,14,30,fold1_best.pt,fold1_last.pt,5171,1.4110205033295085,0.4247594959990705,0.5193344176961908,0.7061500946385448,0.5158713808358408,1.4110205033295085,1.9472902361911903,3.7919392639655416,0.4806655823038092,0.5193344176961908,0.7061500946385448,0.6897838681505731,0.5158713808358408,0.7083334455513135
2,8,24,fold2_best.pt,fold2_last.pt,4946,1.4338910973940822,0.43164423083116177,0.4954836552730681,0.7168874078538108,0.5175081036284792,1.4338910973940822,1.913231709109586,3.6604555727423875,0.5045163447269319,0.4954836552730681,0.7168874078538108,0.6932577649774302,0.5175081036284792,0.6949792411848603
3,34,50,fold3_best.pt,fold3_last.pt,5419,1.2215572003390793,0.36772535872137807,0.4381162727221192,0.7605133624055708,0.5661382880684978,1.2215572003390793,1.6914299749973205,2.8609353603194365,0.5618837272778807,0.4381162727221192,0.7605133624055708,0.7466223844427485,0.5661382880684978,0.3330218225871301
4,12,28,fold4_best.pt,fold4_last.pt,4790,1.3863417727012894,0.41733045782506517,0.47546020517658427,0.7322446774228717,0.5357551016579135,1.3863417727012894,1.8228994983137645,3.3229625809525745,0.5245397948234157,0.47546020517658427,0.7322446774228717,0.7214160087104967,0.5357551016579135,0.5938021987970884
5,62,70,fold5_best.pt,fold5_last.pt,5042,1.3483551231953894,0.4058953368890149,0.45400467255004345,0.7448024180655792,0.5504499916438649,1.3483551231953894,1.8570566472754273,3.448659391189851,0.5459953274499565,0.45400467255004345,0.7448024180655792,0.7272732692044581,0.5504499916438649,0.5071073860359888
