model,accuracy,precision,recall,f1,mcc,auc_roc,auc_pr
Adaboost,0.7325±0.0059,0.7442±0.0113,0.9600±0.0243,0.8382±0.0036,0.1636±0.0838,0.7396±0.0207,0.8816±0.0154
CatBoost,0.8058±0.0210,0.8463±0.0124,0.8933±0.0279,0.8689±0.0157,0.4984±0.0480,0.8602±0.0169,0.9393±0.0065
GB,0.7926±0.0166,0.8514±0.0115,0.8638±0.0286,0.8572±0.0133,0.4795±0.0342,0.8429±0.0160,0.9322±0.0072
LGBM,0.7983±0.0168,0.8149±0.0109,0.9323±0.0140,0.8696±0.0109,0.4526±0.0497,0.8527±0.0175,0.9373±0.0060
LR,0.7312±0.0082,0.7469±0.0180,0.9523±0.0394,0.8363±0.0068,0.1771±0.0697,0.7536±0.0152,0.8871±0.0068
MLP,0.7964±0.0181,0.8453±0.0221,0.8803±0.0296,0.8618±0.0129,0.4780±0.0502,0.8418±0.0084,0.9296±0.0048
RF,0.8077±0.0161,0.8117±0.0161,0.9557±0.0084,0.8777±0.0091,0.4755±0.0507,0.8630±0.0165,0.9415±0.0072
SVM,0.7801±0.0101,0.8121±0.0141,0.9054±0.0218,0.8559±0.0071,0.4087±0.0317,0.8323±0.0154,0.9290±0.0086
XGB,0.8045±0.0196,0.8478±0.0122,0.8889±0.0245,0.8677±0.0143,0.4970±0.0467,0.8575±0.0164,0.9399±0.0067
