fold,best_epoch,last_epoch,best_ckpt,last_ckpt,n,log2MAE,log10MAE,RSE,PCC,KCC,mae,rmse,mse,r2,rse,pearson,spearman,kendall,selection_score
1,30,46,fold1_best.pt,fold1_last.pt,20209,1.482761053156227,0.4463555534023392,0.5398776411568914,0.6904483140121446,0.4813816253377452,1.482761053156227,1.943479629579422,3.7771130705901674,0.4601223588431086,0.5398776411568914,0.6904483140121446,0.6578651734262512,0.4813816253377452,0.8508087549632284
2,20,36,fold2_best.pt,fold2_last.pt,21404,1.4860590285218134,0.4473483429123416,0.5628777981274425,0.6845297498802644,0.47968384183771057,1.4860590285218134,1.9554061422061098,3.823613180977381,0.43712220187255746,0.5628777981274425,0.6845297498802644,0.6551521729801979,0.47968384183771057,0.884723234931281
3,46,62,fold3_best.pt,fold3_last.pt,20250,1.4354729494592102,0.43212041575146837,0.5169806473628377,0.717357611930806,0.5086790800152341,1.4354729494592102,1.908614992989185,3.6428111914631063,0.48301935263716234,0.5169806473628377,0.717357611930806,0.6881951098403238,0.5086790800152341,0.7264169048760079
4,16,32,fold4_best.pt,fold4_last.pt,20129,1.4307072608354925,0.43068580052573474,0.5241674697447262,0.6941250859713495,0.48685129870231786,1.4307072608354925,1.8755761313972414,3.517785824667042,0.47583253025527383,0.5241674697447262,0.6941250859713495,0.6649953460295189,0.48685129870231786,0.7738983459065514
5,32,48,fold5_best.pt,fold5_last.pt,20300,1.5031067494523123,0.4524802182701304,0.544876810584729,0.6905333894532664,0.48134635788256486,1.5031067494523123,1.9828017479715667,3.9315027717591002,0.45512318941527097,0.544876810584729,0.6905333894532664,0.6572309011736549,0.48134635788256486,0.8761038127012098
