fold,best_epoch,last_epoch,best_ckpt,last_ckpt,n,log2MAE,log10MAE,RSE,PCC,KCC,mae,rmse,mse,r2,rse,pearson,spearman,kendall,selection_score
1,22,38,fold1_best.pt,fold1_last.pt,20209,1.4993750306621831,0.45135685897891864,0.5592544478881465,0.6854251080712515,0.481209846556281,1.4993750306621831,1.97804899933618,3.9126778437748633,0.4407455521118535,0.5592544478881465,0.6854251080712515,0.6559818894028665,0.481209846556281,0.8919945239227973
2,34,50,fold2_best.pt,fold2_last.pt,21404,1.3931872840002113,0.41939116206169735,0.5043997881061079,0.7173760916541617,0.5090023721582737,1.3931872840002113,1.8510466472161202,3.4263736901700397,0.49560021189389214,0.5043997881061079,0.7173760916541617,0.6887101384375306,0.5090023721582737,0.6712086082938837
3,48,64,fold3_best.pt,fold3_last.pt,20250,1.4937167988371802,0.4496535614771722,0.5616831523305346,0.6871798544130022,0.48157124361422704,1.4937167988371802,1.989421864845815,3.9577993563266003,0.43831684766946544,0.5616831523305346,0.6871798544130022,0.6570312281655944,0.48157124361422704,0.8866488531404857
4,16,32,fold4_best.pt,fold4_last.pt,20129,1.4413823907904295,0.4338993348497818,0.5378093030851359,0.6903119388415867,0.4840027817254241,1.4413823907904295,1.8998259702005418,3.60933871704843,0.46219069691486414,0.5378093030851359,0.6903119388415867,0.6603471697457801,0.4840027817254241,0.8048769733085545
5,14,30,fold5_best.pt,fold5_last.pt,20300,1.495547703908424,0.4502047188228299,0.52710772786368,0.6960411935430685,0.4828950421504634,1.495547703908424,1.9502030091464926,3.8032917768840346,0.47289227213632,0.52710772786368,0.6960411935430685,0.6599062317767465,0.4828950421504634,0.8437191960785719
