fold,best_epoch,last_epoch,best_ckpt,last_ckpt,n,log2MAE,log10MAE,RSE,PCC,KCC,mae,rmse,mse,r2,rse,pearson,spearman,kendall,selection_score
1,32,48,fold1_best.pt,fold1_last.pt,24990,1.470213454673711,0.442578349885554,0.5616893676864014,0.6832265090147034,0.4843631669622421,1.470213454673711,1.9520977045537689,3.8106854481240933,0.43831063231359857,0.5616893676864014,0.6832265090147034,0.6618278608116012,0.4843631669622421,0.8643131463831666
2,36,52,fold2_best.pt,fold2_last.pt,25576,1.3995473676253036,0.4213057380077814,0.4972068979598311,0.7214597854072611,0.5143079808288128,1.3995473676253036,1.8710166100025454,3.500703154905417,0.5027931020401689,0.4972068979598311,0.7214597854072611,0.6945498506865613,0.5143079808288128,0.660986499349061
3,24,40,fold3_best.pt,fold3_last.pt,24779,1.5706474457108521,0.47281199377198097,0.570757006492142,0.6734721172628996,0.467654208234098,1.5706474457108521,2.031043261470357,4.125136729964145,0.429242993507858,0.570757006492142,0.6734721172628996,0.6463272666651131,0.467654208234098,1.0002781267059966
4,14,30,fold4_best.pt,fold4_last.pt,25583,1.4745416868155528,0.44388127758844537,0.5295146346283198,0.6911250638440196,0.4785710939185989,1.4745416868155528,1.9064850722711189,3.6346853307926135,0.4704853653716802,0.5295146346283198,0.6911250638440196,0.6568888957321639,0.4785710939185989,0.8343601636812541
5,34,50,fold5_best.pt,fold5_last.pt,25464,1.5255538153042267,0.45923745840620134,0.587401309877043,0.666545238056533,0.4583440476703435,1.5255538153042267,2.0057398256513563,4.022992248203933,0.412598690122957,0.587401309877043,0.666545238056533,0.6306875620140179,0.4583440476703435,0.9880658394543933
