fold,best_epoch,last_epoch,best_ckpt,last_ckpt,n,log2MAE,log10MAE,RSE,PCC,KCC,mae,rmse,mse,r2,rse,pearson,spearman,kendall,selection_score
1,70,70,fold1_best.pt,fold1_last.pt,20209,1.8309593814864462,0.5511736946697906,0.8098521539213481,0.5861597511080295,0.39655436358586565,1.8309593814864462,2.3803191628336595,5.6659193169531346,0.19014784607865187,0.8098521539213481,0.5861597511080295,0.553984513299266,0.39655436358586565,1.6580974207138992
2,56,70,fold2_best.pt,fold2_last.pt,21404,1.7919366721127143,0.5394266886362193,0.7896805868849673,0.6039484707267869,0.4051835540344025,1.7919366721127143,2.316091146361112,5.364278198252328,0.21031941311503266,0.7896805868849673,0.6039484707267869,0.5658464527096403,0.4051835540344025,1.5724852342364923
3,28,44,fold3_best.pt,fold3_last.pt,20250,1.7672198066145313,0.531986170722474,0.7514744613839782,0.5922300316458039,0.3926218862779496,1.7672198066145313,2.301114881062059,5.2951296958452545,0.24852553861602178,0.7514744613839782,0.5922300316458039,0.5475927965321875,0.3926218862779496,1.533842350074756
4,58,70,fold4_best.pt,fold4_last.pt,20129,1.727026954720238,0.5198869166910118,0.7628517178962128,0.6155430008012428,0.42229558978975423,1.727026954720238,2.262662239413424,5.11964040966737,0.23714828210378724,0.7628517178962128,0.6155430008012428,0.5868101828227061,0.42229558978975423,1.4520400820254535
5,52,68,fold5_best.pt,fold5_last.pt,20300,1.8091503015733934,0.5446085074381289,0.7745035666916033,0.619454203025373,0.41771589064113396,1.8091503015733934,2.3639693508036,5.588351091538795,0.22549643330839675,0.7745035666916033,0.619454203025373,0.5790854244847625,0.41771589064113396,1.5464837745984896
