fold,best_epoch,last_epoch,best_ckpt,last_ckpt,n,log2MAE,log10MAE,RSE,PCC,KCC,mae,rmse,mse,r2,rse,pearson,spearman,kendall,selection_score
1,60,70,fold1_best.pt,fold1_last.pt,4761,1.4328407891613504,0.4313280565484167,0.5395320724117,0.689686463876866,0.4834663709260417,1.4328407891613504,1.8745796743419827,3.5140489554560936,0.4604679275883,0.5395320724117,0.689686463876866,0.6626824104450101,0.4834663709260417,0.7992200267701425
2,42,58,fold2_best.pt,fold2_last.pt,4849,1.253023936145244,0.37719779006466747,0.44202012777576544,0.7513098542912907,0.5314311480449073,1.253023936145244,1.6052033491097257,2.5766777919930797,0.5579798722242346,0.44202012777576544,0.7513098542912907,0.7156425114184987,0.5314311480449073,0.41230306158481134
3,54,70,fold3_best.pt,fold3_last.pt,4789,1.3104033845488223,0.3944707251687983,0.5347673611441115,0.6986634406782696,0.499289310538918,1.3104033845488223,1.7933088944056268,3.2159567907543316,0.4652326388558885,0.5347673611441115,0.6986634406782696,0.6707751486963569,0.499289310538918,0.6472179944757463
4,56,70,fold4_best.pt,fold4_last.pt,4812,1.3152848777332729,0.3959402010409472,0.4896148219063991,0.7212803805891016,0.5216024980460928,1.3152848777332729,1.7436395816446744,3.040278990678015,0.5103851780936008,0.4896148219063991,0.7212803805891016,0.7049418392454286,0.5216024980460928,0.5620168210044777
5,36,52,fold5_best.pt,fold5_last.pt,4836,1.320660148379261,0.3975583187402017,0.5835848554193834,0.6753273951049722,0.4942288866472098,1.320660148379261,1.8317445504676755,3.3552880981680264,0.41641514458061657,0.5835848554193834,0.6753273951049722,0.6669146613229837,0.4942288866472098,0.7346887220464626
