fold,best_epoch,last_epoch,best_ckpt,last_ckpt,n,log2MAE,log10MAE,RSE,PCC,KCC,mae,rmse,mse,r2,rse,pearson,spearman,kendall,selection_score
1,58,70,fold1_best.pt,fold1_last.pt,20209,1.682060166543519,0.506350564641151,0.6934276577324621,0.6398813572629477,0.44313539661756457,1.682060166543519,2.202586139683542,4.8513857027260485,0.30657234226753793,0.6934276577324621,0.6398813572629477,0.6114851375438118,0.44313539661756457,1.2924710703954692
2,60,70,fold2_best.pt,fold2_last.pt,21404,1.6752005448289216,0.5042856127461492,0.6833648824308788,0.6485517713791064,0.4392048744724374,1.6752005448289216,2.1545483479409313,4.642078583614996,0.3166351175691212,0.6833648824308788,0.6485517713791064,0.6075597562128634,0.4392048744724374,1.270808781408257
3,60,70,fold3_best.pt,fold3_last.pt,20250,1.6927768542324566,0.5095766090896842,0.6903912181377145,0.6406534836495311,0.4327153353823785,1.6927768542324566,2.205610483187939,4.8647176035485336,0.30960878186228546,0.6903912181377145,0.6406534836495311,0.597290984118914,0.4327153353823785,1.3097992533382616
4,30,46,fold4_best.pt,fold4_last.pt,20129,1.6205754919336715,0.4878418333099473,0.6714600461349389,0.6472558412208809,0.4491480726059666,1.6205754919336715,2.1228032939722254,4.5062938248993305,0.3285399538650611,0.6714600461349389,0.6472558412208809,0.6188153249128137,0.4491480726059666,1.1956316242417628
5,62,70,fold5_best.pt,fold5_last.pt,20300,1.7365358910680058,0.5227493917585495,0.7044682041216913,0.6405727053879754,0.4403954617204424,1.7365358910680058,2.2545549698779075,5.083018112201173,0.2955317958783087,0.7044682041216913,0.6405727053879754,0.6095122084093845,0.4403954617204424,1.3600359280812793
