fold,best_epoch,last_epoch,best_ckpt,last_ckpt,n,log2MAE,log10MAE,RSE,PCC,KCC,mae,rmse,mse,r2,rse,pearson,spearman,kendall,selection_score
1,18,34,fold1_best.pt,fold1_last.pt,9500,1.849223239816553,0.5566716638637101,0.8542703616462655,0.4343619257822736,0.28781722814409116,1.849223239816553,2.4496825213801903,6.000944455555605,0.14572963835373454,0.8542703616462655,0.4343619257822736,0.41067794019335635,0.28781722814409116,1.9813144475364535
2,24,40,fold2_best.pt,fold2_last.pt,10769,1.8153403219964241,0.5464718892592338,0.8262083509975767,0.47411486935237457,0.31882762425295186,1.8153403219964241,2.4328407693289695,5.918714208909173,0.17379164900242328,0.8262083509975767,0.47411486935237457,0.44964786863649103,0.31882762425295186,1.8486061793886743
3,36,52,fold3_best.pt,fold3_last.pt,10002,1.8694526042224664,0.5627613093431074,0.9038917978303718,0.43436082433574863,0.3005356435391859,1.8694526042224664,2.5424711425445565,6.4641595106718235,0.09610820216962823,0.9038917978303718,0.43436082433574863,0.4232435557245412,0.3005356435391859,2.038447934177903
4,24,40,fold4_best.pt,fold4_last.pt,9475,1.738694293303469,0.5233991355741321,0.7741191028453345,0.5173872181489089,0.3548426652892867,1.738694293303469,2.3556356284160134,5.5490192138629055,0.22588089715466553,0.7741191028453345,0.5173872181489089,0.4970188332613029,0.3548426652892867,1.6405835127106079
5,28,44,fold5_best.pt,fold5_last.pt,10317,1.8460218581143855,0.555707951943788,0.8042897002970364,0.4875261528288047,0.32847727146291883,1.8460218581143855,2.456654660931763,6.035152123077755,0.1957102997029636,0.8042897002970364,0.4875261528288047,0.4620962344437595,0.32847727146291883,1.8343081341196985
