fold,best_epoch,last_epoch,best_ckpt,last_ckpt,n,log2MAE,log10MAE,RSE,PCC,KCC,mae,rmse,mse,r2,rse,pearson,spearman,kendall,selection_score
1,14,30,fold1_best.pt,fold1_last.pt,20209,1.4738917880835618,0.4436856385759721,0.5211504470910086,0.6960017993500168,0.4862320570491288,1.4738917880835618,1.9094745724792475,3.6460931429448045,0.47884955290899145,0.5211504470910086,0.6960017993500168,0.6646685577884058,0.4862320570491288,0.8128083787754248
2,16,32,fold2_best.pt,fold2_last.pt,21404,1.4488592270143665,0.43615008682585393,0.5367932844706672,0.683039872923955,0.4754139128941358,1.4488592270143665,1.909560632015882,3.6464218073448946,0.4632067155293328,0.5367932844706672,0.683039872923955,0.6483819361456703,0.4754139128941358,0.8271987256669432
3,30,46,fold3_best.pt,fold3_last.pt,20250,1.4727643376621733,0.44334624218051016,0.5358136136500068,0.6882952675171303,0.47638038109810077,1.4727643376621733,1.9430682702133086,3.7755143027097393,0.4641863863499932,0.5358136136500068,0.6882952675171303,0.6500572799830026,0.47638038109810077,0.8439023026969489
4,14,30,fold4_best.pt,fold4_last.pt,20129,1.424406151255684,0.42878897753624673,0.5131055859626634,0.699589113136055,0.48193680497464936,1.424406151255684,1.8556797826694982,3.4435474558083157,0.4868944140373366,0.5131055859626634,0.699589113136055,0.6600060313388973,0.48193680497464936,0.7559858191076432
5,22,38,fold5_best.pt,fold5_last.pt,20300,1.4965565220757244,0.4505084033513581,0.5414129482852928,0.6794537625253446,0.47674513684740233,1.4965565220757244,1.9764892178851097,3.9065096284160923,0.45858705171470715,0.5414129482852928,0.6794537625253446,0.6517955842712931,0.47674513684740233,0.8817705709882702
