fold,best_epoch,last_epoch,best_ckpt,last_ckpt,n,log2MAE,log10MAE,RSE,PCC,KCC,mae,rmse,mse,r2,rse,pearson,spearman,kendall,selection_score
1,22,38,fold1_best.pt,fold1_last.pt,20209,1.4275248956404387,0.42972781314486647,0.5258948729275255,0.6961924748080374,0.4985148803593403,1.4275248956404387,1.9181465743165576,3.679286280562345,0.47410512707247454,0.5258948729275255,0.6961924748080374,0.6749261606536664,0.4985148803593403,0.7587124134005867
2,22,38,fold2_best.pt,fold2_last.pt,21404,1.4518751429384225,0.4370579679833954,0.5429187468492274,0.6886820051983786,0.4833203454510517,1.4518751429384225,1.9204249275642669,3.68803190241022,0.45708125315077264,0.5429187468492274,0.6886820051983786,0.6577617576111539,0.4833203454510517,0.8227915391382195
3,38,54,fold3_best.pt,fold3_last.pt,20250,1.4559911158515284,0.4382969992915807,0.5369728633281677,0.6959954999170729,0.4884007947082068,1.4559911158515284,1.945169079325195,3.783682747162827,0.46302713667183226,0.5369728633281677,0.6959954999170729,0.6643649763130246,0.4884007947082068,0.8085676845544163
4,26,42,fold4_best.pt,fold4_last.pt,20129,1.3796806275401823,0.41532525332609993,0.5065135831835698,0.7127235868957986,0.5055607410027466,1.3796806275401823,1.8437210454705546,3.399307293511035,0.49348641681643024,0.5065135831835698,0.7127235868957986,0.6822448468747312,0.5055607410027466,0.6679098828252067
5,22,38,fold5_best.pt,fold5_last.pt,20300,1.5822122639100646,0.4762933509443446,0.6002436355192518,0.6557309220858422,0.4554029480792688,1.5822122639100646,2.0811046156914133,4.330996421452104,0.39975636448074825,0.6002436355192518,0.6557309220858422,0.627767657034301,0.4554029480792688,1.0713220292642056
