fold,best_epoch,last_epoch,best_ckpt,last_ckpt,n,log2MAE,log10MAE,RSE,PCC,KCC,mae,rmse,mse,r2,rse,pearson,spearman,kendall,selection_score
1,20,36,fold1_best.pt,fold1_last.pt,20209,1.5600136023658597,0.46961088795594647,0.5802178719916216,0.6667441794207147,0.46364099035102035,1.5600136023658597,2.014781122474661,4.0593429714802545,0.41978212800837844,0.5802178719916216,0.6667441794207147,0.6386500072767981,0.46364099035102035,1.0098463045857462
2,46,62,fold2_best.pt,fold2_last.pt,21404,1.3921563534363588,0.41908082103853095,0.5098501874006349,0.7255756635423687,0.5170432993075221,1.3921563534363588,1.8610207146984377,3.4633981005366836,0.4901498125993651,0.5098501874006349,0.7255756635423687,0.6950419233498205,0.5170432993075221,0.6593875779871029
3,36,52,fold3_best.pt,fold3_last.pt,20250,1.4742055168807662,0.4437800803544342,0.5409339253016856,0.7018899068668923,0.4943137446356786,1.4742055168807662,1.9523303148441435,3.811593658259433,0.4590660746983144,0.5409339253016856,0.7018899068668923,0.6728003795831672,0.4943137446356786,0.8189357906798811
4,30,46,fold4_best.pt,fold4_last.pt,20129,1.466683512942085,0.44151573154138857,0.5549046186536694,0.6926776799672865,0.4883222150861908,1.466683512942085,1.9297845926190302,3.7240685739097965,0.44509538134633064,0.5549046186536694,0.6926776799672865,0.6660756177910615,0.4883222150861908,0.840588236542277
5,24,40,fold5_best.pt,fold5_last.pt,20300,1.4745671781297793,0.44388895123865646,0.5141660125938865,0.7093387168190812,0.49748203173974487,1.4745671781297793,1.926113225384942,3.709912157002784,0.4858339874061135,0.5141660125938865,0.7093387168190812,0.6771694563593984,0.49748203173974487,0.7819124421648398
