fold,best_epoch,last_epoch,best_ckpt,last_ckpt,n,log2MAE,log10MAE,RSE,PCC,KCC,mae,rmse,mse,r2,rse,pearson,spearman,kendall,selection_score
1,70,70,fold1_best.pt,fold1_last.pt,20209,1.6835952106635848,0.5068126589659584,0.6879944899951116,0.5634898413422381,0.37874387402175347,1.6835952106635848,2.1939402822505185,4.813373962081484,0.3120055100048884,0.6879944899951116,0.5634898413422381,0.5358979522007614,0.37874387402175347,1.4293559852947049
2,64,70,fold2_best.pt,fold2_last.pt,21404,1.6639370366552868,0.5008949589294787,0.6943408021477067,0.5563356009658795,0.3652090266905035,1.6639370366552868,2.1717821483918955,4.716637700073718,0.30565919785229334,0.6943408021477067,0.5563356009658795,0.5167927315303206,0.3652090266905035,1.4367332111466105
3,64,70,fold3_best.pt,fold3_last.pt,20250,1.6762879075209087,0.5046129415326033,0.6833219423373291,0.5749009132842176,0.3859627944638459,1.6762879075209087,2.1942892294544825,4.814905222499946,0.3166780576626709,0.6833219423373291,0.5749009132842176,0.5425026006681368,0.3859627944638459,1.3987461421101743
4,58,70,fold4_best.pt,fold4_last.pt,20129,1.6288925452399976,0.49034551583068775,0.6727898114353281,0.5763300944447703,0.37995733860131736,1.6288925452399976,2.124904263321758,4.515218128282983,0.3272101885646719,0.6727898114353281,0.5763300944447703,0.5363083416201515,0.37995733860131736,1.3453949236292382
5,60,70,fold5_best.pt,fold5_last.pt,20300,1.7107826966056119,0.5149969077412014,0.6813577611061814,0.5703554028418184,0.372376259682596,1.7107826966056119,2.2172656763818943,4.91626707966126,0.3186422388938186,0.6813577611061814,0.5703554028418184,0.5271575547967688,0.372376259682596,1.449408795187379
