ablation,point_id,feature_modalities,fusion,fusion_attn_mode,similarity_threshold,use_signed_sampling,pair_balance_num,cv_n,cv_log10MAE,cv_log2MAE,cv_RSE,cv_PCC,cv_KCC,cv_selection_score,checkpoints/ablation_path,source_path
modality_ablation,mod_gsh,gsh,attention,cross_qs,0.3,False,10000,102292,0.43707468733146326,1.4519306834104972,0.5161899960941093,0.6955645217417943,0.48455013896834126,0.7880060187944711,checkpoints/ablation/01_modality_ablation/mod_gsh,outputs_code_struct_s_modality_grid/modality_grid__mod_gsh
modality_ablation,mod_gs,gs,attention,cross_qs,0.3,False,10000,102292,0.44356171123152643,1.4734801103563229,0.5386354213110398,0.6792382341188989,0.47502518236496993,0.8578521151834938,checkpoints/ablation/01_modality_ablation/mod_gs,outputs_code_struct_s_modality_grid/modality_grid__mod_gs
modality_ablation,mod_sh,sh,attention,cross_qs,0.3,False,10000,102292,0.4468344070444643,1.4843517705233416,0.5477220966431867,0.6725160989573509,0.46860741416809093,0.8909503540410866,checkpoints/ablation/01_modality_ablation/mod_sh,outputs_code_struct_s_modality_grid/modality_grid__mod_sh
modality_ablation,mod_gh,gh,attention,cross_qs,0.3,False,10000,102292,0.5035933789271925,1.6729009938574981,0.6843739149704132,0.561806092018934,0.3751155003884518,1.4203533164205255,checkpoints/ablation/01_modality_ablation/mod_gh,outputs_code_struct_s_modality_grid/modality_grid__mod_gh
modality_ablation,mod_g,g,attention,cross_qs,0.3,False,10000,102292,0.5013531346462516,1.6654590634412298,0.6776030690321896,0.5678000801054984,0.3759433661992248,1.3993186861686964,checkpoints/ablation/01_modality_ablation/mod_g,outputs_code_struct_s_modality_grid/modality_grid__mod_g
modality_ablation,mod_h,h,attention,cross_qs,0.3,False,10000,102292,0.5143606157577763,1.7086689803893202,0.7041053817072219,0.5439619640129062,0.3629073334869711,1.505905064596665,checkpoints/ablation/01_modality_ablation/mod_h,outputs_code_struct_s_modality_grid/modality_grid__mod_h
pair_balance_bin1,unsigned_bal1000,gsh,attention,cross_qs,0.3,False,1000,102292,0.43585696536581775,1.447885498601058,0.5174162481079769,0.6946824827876568,0.4872234757441962,0.783395788177182,checkpoints/ablation/02_pair_balance_bin1/unsigned_bal1000,outputs_code_struct_s_binsize_grid/binsize_grid__unsigned_bin1p0_bal1000
pair_balance_bin1,unsigned_bal2000,gsh,attention,cross_qs,0.3,False,2000,102292,0.43091494987859236,1.4314684785086755,0.5023332557902824,0.7054549909170094,0.4953913389044743,0.7329554044774743,checkpoints/ablation/02_pair_balance_bin1/unsigned_bal2000,outputs_code_struct_s_binsize_grid/binsize_grid__unsigned_bin1p0_bal2000
pair_balance_bin1,unsigned_bal4000,gsh,attention,cross_qs,0.3,False,4000,102292,0.4318438480774639,1.4345542115327972,0.5092364053993658,0.7005452123886328,0.49382292262401173,0.7494224819195184,checkpoints/ablation/02_pair_balance_bin1/unsigned_bal4000,outputs_code_struct_s_binsize_grid/binsize_grid__unsigned_bin1p0_bal4000
pair_balance_bin1,unsigned_bal8000,gsh,attention,cross_qs,0.3,False,8000,102292,0.4321639973257318,1.4356177243151753,0.5148438274679833,0.6965315301779361,0.48949645366716354,0.7644335679380589,checkpoints/ablation/02_pair_balance_bin1/unsigned_bal8000,outputs_code_struct_s_binsize_grid/binsize_grid__unsigned_bin1p0_bal8000
pair_balance_bin1,unsigned_bal10000,gsh,attention,cross_qs,0.3,False,10000,102292,0.42936299403952055,1.4263129928048384,0.502559376150344,0.7052947070903455,0.49429016577466617,0.7292874960901707,checkpoints/ablation/02_pair_balance_bin1/unsigned_bal10000,outputs_code_struct_s_binsize_grid/binsize_grid__unsigned_bin1p0_bal10000
pair_balance_bin1,unsigned_bal20000,gsh,attention,cross_qs,0.3,False,20000,102292,0.43697076322615863,1.4515854550053497,0.5182191755981951,0.6941043325047072,0.486479470526549,0.7892208275722887,checkpoints/ablation/02_pair_balance_bin1/unsigned_bal20000,outputs_code_struct_s_binsize_grid/binsize_grid__unsigned_bin1p0_bal20000
