fold,best_epoch,last_epoch,best_ckpt,last_ckpt,n,log2MAE,log10MAE,RSE,PCC,KCC,mae,rmse,mse,r2,rse,pearson,spearman,kendall,selection_score
1,32,48,fold1_best.pt,fold1_last.pt,20209,1.4808901857812302,0.44579236620455603,0.5453435438476408,0.6893085208467383,0.48472429801018674,1.4808901857812302,1.953293073964105,3.8153538327961423,0.45465645615235917,0.5453435438476408,0.6893085208467383,0.6615194752727714,0.48472429801018674,0.8522009107719462
2,16,32,fold2_best.pt,fold2_last.pt,21404,1.4429502481665557,0.43437130694891884,0.5220257329300239,0.6996576396272419,0.48499693417006634,1.4429502481665557,1.883110788476368,3.5461062416760885,0.47797426706997614,0.5220257329300239,0.6996576396272419,0.6626656741053109,0.48499693417006634,0.780321407299271
3,52,68,fold3_best.pt,fold3_last.pt,20250,1.4749835250933772,0.444014284163303,0.5440450983622106,0.6966694151099915,0.4880313166730801,1.4749835250933772,1.9579366639192868,3.833515979919386,0.4559549016377894,0.5440450983622106,0.6966694151099915,0.6648801163685861,0.4880313166730801,0.8343278916725161
4,16,32,fold4_best.pt,fold4_last.pt,20129,1.3822139711536297,0.4160878657430714,0.49026338049758195,0.7192913323572337,0.506009989227843,1.3822139711536297,1.8139043930441694,3.290249147104937,0.509736619502418,0.49026338049758195,0.7192913323572337,0.684962863996574,0.506009989227843,0.6471760300661348
5,32,48,fold5_best.pt,fold5_last.pt,20300,1.5003902126247377,0.45166245920070464,0.5495983641312967,0.6886365347194097,0.48374819040405986,1.5003902126247377,1.991374062643823,3.9655706573705647,0.4504016358687033,0.5495983641312967,0.6886365347194097,0.658465329557278,0.48374819040405986,0.8776038516325648
