fold,best_epoch,last_epoch,best_ckpt,last_ckpt,n,log2MAE,log10MAE,RSE,PCC,KCC,mae,rmse,mse,r2,rse,pearson,spearman,kendall,selection_score
1,22,38,fold1_best.pt,fold1_last.pt,20209,1.4657268622321726,0.4412277509823317,0.5235952466639641,0.6985119712364196,0.48610365394456295,1.4657268622321726,1.9139481563894103,3.6631975453464225,0.47640475333603594,0.5235952466639641,0.6985119712364196,0.6637934085880494,0.48610365394456295,0.8047064837151541
2,48,64,fold2_best.pt,fold2_last.pt,21404,1.4157191155757267,0.4261739192231763,0.5131005988201681,0.7141331541085327,0.5028427334205905,1.4157191155757267,1.8669435060113737,3.48547805463804,0.4868994011798319,0.5131005988201681,0.7141331541085327,0.6816069840902544,0.5028427334205905,0.7118438268667715
3,26,42,fold3_best.pt,fold3_last.pt,20250,1.4890516366263575,0.4482492077170765,0.5688752916571421,0.6785108072222878,0.47810416032557884,1.4890516366263575,2.002118246539131,4.008477473124926,0.4311247083428579,0.5688752916571421,0.6785108072222878,0.6498856173152519,0.47810416032557884,0.9013119607356328
4,34,50,fold4_best.pt,fold4_last.pt,20129,1.422406745461495,0.42818709641869146,0.5187394273837487,0.7129669634707548,0.5071663095026004,1.422406745461495,1.865839547820115,3.481357218209572,0.4812605726162513,0.5187394273837487,0.7129669634707548,0.6876142590211578,0.5071663095026004,0.7210128998718883
5,54,70,fold5_best.pt,fold5_last.pt,20300,1.4916819716910754,0.44904101747020336,0.5448953083958967,0.7016849466483415,0.4981808532407858,1.4916819716910754,1.9828354043690517,3.9316362408193806,0.4551046916041033,0.5448953083958967,0.7016849466483415,0.6764292216373226,0.4981808532407858,0.8367114801978448
