fold,best_epoch,last_epoch,best_ckpt,last_ckpt,n,log2MAE,log10MAE,RSE,PCC,KCC,mae,rmse,mse,r2,rse,pearson,spearman,kendall,selection_score
1,26,42,fold1_best.pt,fold1_last.pt,20209,1.5405493516720705,0.4637515646539924,0.5946212239720972,0.652896447000537,0.45567917019999166,1.5405493516720705,2.039635326718698,4.16011226599889,0.40537877602790284,0.5946212239720972,0.652896447000537,0.6256205996819174,0.45567917019999166,1.026594958443639
2,14,30,fold2_best.pt,fold2_last.pt,21404,1.5595359821646118,0.4694671099488357,0.613416900096459,0.6435317676789166,0.43569251169429873,1.5595359821646118,2.041304458145417,4.166923890844354,0.386583099903541,0.613416900096459,0.6435317676789166,0.6034520753441661,0.43569251169429873,1.0937286028878555
3,12,28,fold3_best.pt,fold3_last.pt,20250,1.615252283964791,0.48623938803815675,0.6439251338240608,0.621503772158667,0.42384686485784384,1.615252283964791,2.1300945269802405,4.537302693871175,0.3560748661759392,0.6439251338240608,0.621503772158667,0.5895472185054699,0.42384686485784384,1.213826780772341
4,6,22,fold4_best.pt,fold4_last.pt,20129,1.5187406455808468,0.4571864899539143,0.583605803991954,0.6517493716850629,0.44207712218940304,1.5187406455808468,1.979062300997965,3.91668759123136,0.41639419600804595,0.583605803991954,0.6517493716850629,0.6134722630654704,0.44207712218940304,1.008519955698335
5,28,44,fold5_best.pt,fold5_last.pt,20300,1.642504407505191,0.4944430946693577,0.6662093772294728,0.6394009866538346,0.45179513193022397,1.642504407505191,2.1924792972001286,4.80696546865117,0.3337906227705272,0.6662093772294728,0.6394009866538346,0.6213386427528284,0.45179513193022397,1.2175176661506053
