fold,best_epoch,last_epoch,best_ckpt,last_ckpt,n,log2MAE,log10MAE,RSE,PCC,KCC,mae,rmse,mse,r2,rse,pearson,spearman,kendall,selection_score
1,22,38,fold1_best.pt,fold1_last.pt,9500,1.8001106195328913,0.5418872919926728,0.8229290377846357,0.47738849488674634,0.3059477783242678,1.8001106195328913,2.404325859604302,5.780782839161966,0.17707096221536434,0.8229290377846357,0.47738849488674634,0.4328386523993216,0.3059477783242678,1.839703384106513
2,22,38,fold2_best.pt,fold2_last.pt,10769,1.8453064984888898,0.5554926072388269,0.8656279273122107,0.46397277225263944,0.3115585729378542,1.8453064984888898,2.490201696155697,6.2011044875367105,0.13437207268778928,0.8656279273122107,0.46397277225263944,0.4388580625456552,0.3115585729378542,1.935403080610607
3,2,18,fold3_best.pt,fold3_last.pt,10002,1.9091442683360085,0.5747096908191032,0.9018404852778333,0.3218767632319706,0.22142717984258511,1.9091442683360085,2.53958453303415,6.449489600426284,0.09815951472216666,0.9018404852778333,0.3218767632319706,0.3210743426294726,0.22142717984258511,2.2676808105392863
4,54,70,fold4_best.pt,fold4_last.pt,9475,1.7236834422014873,0.5188804191319899,0.7843097316283945,0.5095369375565706,0.3595728580003088,1.7236834422014873,2.3710899177790754,5.6220673981935825,0.21569026837160554,0.7843097316283945,0.5095369375565706,0.4997171918223512,0.3595728580003088,1.6388833782730026
5,8,24,fold5_best.pt,fold5_last.pt,10317,1.8899265031053787,0.5689245670350553,0.8210207345459861,0.4477563682618553,0.30089130255958185,1.8899265031053787,2.4820751111837476,6.160696857557812,0.17897926545401388,0.8210207345459861,0.4477563682618553,0.4293929420925353,0.30089130255958185,1.9622995668299277
